alpha,beta,p,distance_to_best,mean,stddev
0.2,8.0,0.2,345.88621687891646,7963.548008969033,49.243307036266785
0.2,8.0,0.30000000000000004,293.392243853712,7905.910011040945,49.18294475923109
0.2,8.0,0.4,358.32102787585245,7938.102159369556,26.258478560755204
0.2,8.0,0.5,249.67724855212236,7858.94881226561,68.01329590044824
0.2,8.0,0.6,78.65668657089827,7803.018809412467,108.17444441645944
0.2,8.0,0.7,247.32572629371134,7850.583862295258,56.63018381052474
0.2,8.0,0.7999999999999999,303.5421231474138,7892.651828325095,44.755480695689485
0.2,8.0,0.8999999999999999,236.64330289242935,7844.304149257043,54.134988415302075
0.2,9.0,0.0,29.808727993197863,7709.092481056487,87.91875547601308
0.2,9.0,0.1,303.3630094891596,7893.797381709646,57.11951106333656
0.2,9.0,0.2,249.37563410006987,7856.078290623834,73.37995463371192
0.2,9.0,0.30000000000000004,249.37563410006987,7843.387981035538,70.60862683013056
0.2,9.0,0.4,232.26406306802346,7787.889684683142,11.953823329551692
0.2,9.0,0.5,241.7474394498813,7827.240149425946,49.923523052352095
0.2,9.0,0.6,249.37563410006987,7830.60851480743,33.83551245515188
0.2,9.0,0.7,241.7474394498813,7812.609194013849,24.948062911623353
0.2,9.0,0.7999999999999999,56.769057502275245,7770.671643386489,135.64735071872008
0.2,9.0,0.8999999999999999,241.7474394498813,7795.427091814596,14.77148765261115
0.30000000000000004,1.0,0.0,7256.326264381412,15250.48526464778,389.9243166679169
0.30000000000000004,1.0,0.1,6657.009805015439,14543.627065733284,295.60419134403946
0.30000000000000004,1.0,0.2,6162.720587228623,14511.334313858912,529.3448738060757
0.30000000000000004,1.0,0.30000000000000004,6472.217230991009,14775.34379441762,454.87275388454344
0.30000000000000004,1.0,0.4,6500.148526202871,14523.79487725906,401.7346142244087
0.30000000000000004,1.0,0.5,6008.71350980213,14502.645755373955,560.5536765207905
0.30000000000000004,1.0,0.6,6524.439418074822,14245.52116960785,197.53555839096344
0.30000000000000004,1.0,0.7,7149.225279433002,14773.057838219287,77.41747238478334
0.30000000000000004,1.0,0.7999999999999999,6738.014982207067,14866.09362542135,368.4743029538825
0.30000000000000004,1.0,0.8999999999999999,6979.287476448842,14973.787808978961,311.3461218080442
0.30000000000000004,2.0,0.0,2879.177228035822,10645.336294069448,139.3043253525444
0.30000000000000004,2.0,0.1,2871.508488254887,10653.57570523548,212.54947737399587
0.30000000000000004,2.0,0.2,3046.662186179532,10675.710471185888,92.21123952209132
0.30000000000000004,2.0,0.30000000000000004,3110.2673622901493,10774.843342590784,148.25971551962436
0.30000000000000004,2.0,0.4,2871.5972559199145,10651.329433347697,139.81832543023955
0.30000000000000004,2.0,0.5,2571.492534675621,10488.328435566891,285.4992875066343
0.30000000000000004,2.0,0.6,2797.381295917563,10556.724274006338,134.4838606058088
0.30000000000000004,2.0,0.7,2920.2046488909145,10646.74827807859,145.7419853506108
0.30000000000000004,2.0,0.7999999999999999,2555.3112010519926,10434.19557578608,280.32927977751973
0.30000000000000004,2.0,0.8999999999999999,2957.7094178045954,10670.847318226639,133.90007687489492
0.30000000000000004,3.0,0.0,1345.7062797689123,9158.469557999038,158.05256969288163
0.30000000000000004,3.0,0.1,1396.736133251523,9135.863269690617,174.66642514891922
0.30000000000000004,3.0,0.2,1173.5061078086692,9058.47083808631,193.25562228848204
0.30000000000000004,3.0,0.30000000000000004,1361.096531795387,9158.441003280801,154.97280193094755
0.30000000000000004,3.0,0.4,1465.2345180456432,9109.914614049607,70.5267884595035
0.30000000000000004,3.0,0.5,1222.1901559164726,8952.0860378031,202.98555211151222
0.30000000000000004,3.0,0.6,1438.0849889145993,9148.935628664693,158.63201341205044
0.30000000000000004,3.0,0.7,1405.5076254250325,9048.798637662894,107.23736204251361
0.30000000000000004,3.0,0.7999999999999999,1414.5126219917456,9034.755116265822,61.88836487453541
0.30000000000000004,3.0,0.8999999999999999,1339.910964953844,9082.943274997602,124.17209353917207
0.30000000000000004,4.0,0.0,661.9643989794877,8356.421577632835,122.84102903937563
0.30000000000000004,4.0,0.1,932.1154002961175,8653.689109974655,135.17105222658722
0.30000000000000004,4.0,0.2,839.3889319054197,8476.14719592502,79.94692304601799
0.30000000000000004,4.0,0.30000000000000004,610.3098502211087,8401.045805050853,144.1207926094009
0.30000000000000004,4.0,0.4,740.4482391515085,8497.509303034576,136.5386172599399
0.30000000000000004,4.0,0.5,792.0015198172568,8443.457189536814,65.23931552427379
0.30000000000000004,4.0,0.6,891.333709175371,8493.551152678228,75.97595496376523
0.30000000000000004,4.0,0.7,562.6227970005084,8291.453836533961,151.70495391804835
0.30000000000000004,4.0,0.7999999999999999,808.2677372834696,8390.20615537523,37.05091803082832
0.30000000000000004,4.0,0.8999999999999999,807.095025722816,8402.514084859666,91.43513734150395
0.30000000000000004,5.0,0.0,384.21115620960336,8062.650296918066,96.88309859603619
0.30000000000000004,5.0,0.1,699.1954385572662,8489.011679279152,152.16213990244333
0.30000000000000004,5.0,0.2,699.1954385572662,8426.507235202214,117.79788169700852
0.30000000000000004,5.0,0.30000000000000004,667.3707012951272,8339.710665535062,122.73559594981681
0.30000000000000004,5.0,0.4,707.4645812468007,8372.564206234565,97.98952752301365
0.30000000000000004,5.0,0.5,521.5424899940363,8189.210386118372,105.05634040062398
0.30000000000000004,5.0,0.6,550.2388994385819,8218.00565178466,95.71727353655756
0.30000000000000004,5.0,0.7,553.2663303795807,8178.114829184055,66.45715172250044
0.30000000000000004,5.0,0.7999999999999999,579.6811021461344,8206.550178105743,91.5014891330402
